game_num,completed_at,first_guess,word,turns
89,2022-01-12 01:22:25.511645,about,torso,4
90,2022-01-12 01:22:25.786352,about,abdur,3
91,2022-01-12 01:22:26.204379,about,fagan,4
92,2022-01-12 01:22:26.508099,about,lofty,5
93,2022-01-12 01:22:27.017329,about,feder,5
94,2022-01-12 01:22:27.218173,about,ficus,5
95,2022-01-12 01:22:27.520212,about,fitch,8
96,2022-01-12 01:22:27.765476,about,duals,5
97,2022-01-12 01:22:27.929099,about,finke,8
98,2022-01-12 01:22:28.061516,about,lense,6
99,2022-01-12 01:22:28.201444,about,spanx,6
0,2022-01-12 01:22:28.330830,their,rapey,5
1,2022-01-12 01:22:28.453451,their,irvin,5
2,2022-01-12 01:22:28.643411,their,keene,3
3,2022-01-12 01:22:28.762597,their,exper,6
4,2022-01-12 01:22:28.886603,their,peale,3
5,2022-01-12 01:22:29.026932,their,inuit,3
6,2022-01-12 01:22:29.347587,their,nicol,4
7,2022-01-12 01:22:29.632854,their,borgo,7
8,2022-01-12 01:22:30.028620,their,manny,7
9,2022-01-12 01:22:30.485413,their,garza,5
10,2022-01-12 01:22:30.836402,their,gases,4
11,2022-01-12 01:22:31.203080,their,akufo,4
12,2022-01-12 01:22:31.427685,their,pests,6
13,2022-01-12 01:22:31.591426,their,malic,6
14,2022-01-12 01:22:31.840654,their,loath,5
15,2022-01-12 01:22:32.077247,their,bongs,5
16,2022-01-12 01:22:32.311552,their,mopar,4
17,2022-01-12 01:22:32.532135,their,chowk,3
18,2022-01-12 01:22:32.832151,their,ultra,3
19,2022-01-12 01:22:33.010158,their,awful,3
20,2022-01-12 01:22:33.142716,their,willy,5
21,2022-01-12 01:22:33.260513,their,rubik,4
22,2022-01-12 01:22:33.400586,their,towie,4
23,2022-01-12 01:22:33.533767,their,zeros,7
24,2022-01-12 01:22:33.925290,their,whose,3
25,2022-01-12 01:22:34.045962,their,wests,8
26,2022-01-12 01:22:34.169543,their,other,2
27,2022-01-12 01:22:34.289374,their,pyotr,3
28,2022-01-12 01:22:34.453098,their,alloa,5
29,2022-01-12 01:22:34.581320,their,tanah,3
30,2022-01-12 01:22:34.718821,their,pedal,4
31,2022-01-12 01:22:34.841951,their,eared,8
32,2022-01-12 01:22:34.967412,their,louse,4
33,2022-01-12 01:22:35.098604,their,condo,4
34,2022-01-12 01:22:35.218513,their,homie,3
35,2022-01-12 01:22:35.347633,their,haigh,6
36,2022-01-12 01:22:35.508271,their,doled,7
37,2022-01-12 01:22:35.798017,their,stash,3
38,2022-01-12 01:22:36.249593,their,melee,5
39,2022-01-12 01:22:36.416758,their,niang,7
40,2022-01-12 01:22:36.551339,their,edens,3
41,2022-01-12 01:22:36.711364,their,coots,5
42,2022-01-12 01:22:36.840210,their,nimmo,4
43,2022-01-12 01:22:36.975331,their,loong,6
44,2022-01-12 01:22:37.093472,their,shrug,3
45,2022-01-12 01:22:37.216008,their,biggs,4
46,2022-01-12 01:22:37.373561,their,freya,3
47,2022-01-12 01:22:37.600070,their,pasts,7
48,2022-01-12 01:22:37.735729,their,nolan,4
49,2022-01-12 01:22:37.856974,their,credo,7
50,2022-01-12 01:22:37.975477,their,drool,3
